Survey Year,Genus,Species,Family,Taxon,Appear in Woody Survey,Appear in Herb Transects,Appear as Additional Species,Native,Non-native,Invasive
2016,Acer,negundo,Sapindaceae,Acer negundo,n,n,y,y,n,n
2016,Acer,platanoides,Sapindaceae,Acer platanoides,y,y,y,n,y,y
2016,Acer,pseudoplatanus,Sapindaceae,Acer pseudoplatanus,y,y,y,n,y,y
2016,Acer,rubrum,Sapindaceae,Acer rubrum,y,y,y,y,n,n
2016,Acer,saccharinum,Sapindaceae,Acer saccharinum,n,y,n,y,n,n
2016,Acer,saccharum,Sapindaceae,Acer saccharum,y,y,y,y,n,n
2016,Ageratina,altissima,Asteraceae,Ageratina altissima,y,y,y,y,n,n
2016,Agrostis,perennans,Poaceae,Agrostis perennans,n,y,y,y,n,n
2016,Agrostis,spp.,Poaceae,Agrostis spp.,n,y,y,n,n,n
2016,Ailanthus,altissima,Simaroubaceae,Ailanthus altissima,n,y,y,n,y,y
2016,Alliaria,petiolata,Brassicaceae,Alliaria petiolata,n,y,y,n,y,y
2016,Alnus,glutinosa,Betulaceae,Alnus glutinosa,n,y,n,n,y,y
2016,Amelanchier,spp.,Rosaceae,Amelanchier spp.,y,y,y,y,n,n
2016,Ampelopsis,brevipedunculata,Vitaceae,Ampelopsis brevipedunculata,y,y,y,n,y,y
2016,Apiaceae,spp.,Apiaceae,Apiaceae spp.,n,n,y,n,n,n
2016,Apocynum,cannabinum,Apocynaceae,Apocynum cannabinum,n,y,n,y,n,n
2016,Aralia,elata,Araliaceae,Aralia elata,y,y,y,n,y,y
2016,Aralia,nudicaulis,Araliaceae,Aralia nudicaulis,n,n,y,y,n,n
2016,Aralia,racemosa,Araliaceae,Aralia racemosa,n,y,y,y,n,n
2016,Arctium,minus,Asteraceae,Arctium minus,n,n,y,n,y,n
2016,Arisaema,dracontium,Araceae,Arisaema dracontium,n,n,n,n,y,n
2016,Arisaema,triphyllum,Araceae,Arisaema triphyllum,n,y,y,y,n,n
2016,Artemisia,vulgaris,Asteraceae,Artemisia vulgaris,n,y,y,n,y,y
