Year,Genus ,Specific epithet,Taxon,Sum of Cover (cm),Native,Non-native,Invasive
2011,Acer,platanoides,acer platanoides,50,n,y,y
2011,Ageratina,altissima,ageratina altissima,72,y,n,n
2011,Aralia ,elata,aralia elata,4,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,31,y,n,n
2011,Prunus ,serotina,prunus serotina,20,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,60,y,n,n
2011,Fraxinus ,americana,fraxinus americana,153,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,40,y,n,n
2011,Silene,stellata,silene stellata,120,y,n,n
2011,Carya,cordiformis,carya cordiformis,10,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,68,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,7,y,n,n
2011,Quercus ,rubra,quercus rubra,60,y,n,n
2011,Rubus,sp.,rubus sp.,20,#N/A,#N/A,#N/A
2011,Ageratina,altissima,ageratina altissima,1,y,n,n
2011,Aralia ,elata,aralia elata,22,n,y,y
2011,Commelina,communis,commelina communis,8,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,132,y,n,n
2011,Polygonatum,biflorum,polygonatum biflorum,20,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,14,y,n,n
2011,Prunus ,serotina,prunus serotina,40,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,31,y,n,n
2011,Commelina,communis,commelina communis,10,n,y,y
2011,Eurybia ,divaricata,eurybia divaricata,2,y,n,n
2011,Toxicodendron ,radicans,toxicodendron radicans,176,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,80,y,n,n
2011,Prunus ,serotina,prunus serotina,191,y,n,n
2011,Quercus ,rubra,quercus rubra,110,y,n,n
2011,Carya,cordiformis,carya cordiformis,10,y,n,n
2011,Eurybia ,divaricata,eurybia divaricata,300,y,n,n
2011,Poaceae,spp.,poaceae spp.,5,n,n,n
2011,Rubus,sp.,rubus sp.,6,#N/A,#N/A,#N/A
2011,Toxicodendron ,radicans,toxicodendron radicans,48,y,n,n
2011,Celastrus ,orbiculatus,celastrus orbiculatus,60,n,y,y
2011,Prunus ,serotina,prunus serotina,29,y,n,n
2011,Rubus,sp.,rubus sp.,30,#N/A,#N/A,#N/A
2011,Circea ,lutetiana,circea lutetiana,20,#N/A,#N/A,#N/A
