Taxon,Type
Acer negundo,Tree
Acer plantanoides,Tree
Acer platanoides,
Acer pseudoplatanus,Tree
Acer rubrum,Tree
Acer saccharinum,Tree
Acer saccharum,Tree
Acer sp.,Tree
Acer spp.,
Ageratina altissima,Herb
Agrostis perennans,
Agrostis spp.,
Ailanthus altissima,Tree
Alliaria petiolata,Herb
Alnus glutinosa,Tree
Amelanchier sp.,Tree
Amelanchier spp.,
Ampelopsis brevipedunculata,Vine
Apiaceae spp.,
Apocynum cannabinum,
Aralia elata,Tree
Aralia nudicaulis,Herb
Aralia racemosa,Herb
Arctium minus,
Arisaema dracontium,
Arisaema triphyllum,Herb
Artemisia vulgaris,
Artemsia vulgaris,Herb
Arum italicum,
Asimina triloba,Tree
Asplenium platyneuron,
Athyrium filix-femina,
Aucuba japonica,
Baccharis halimifolia,
Berberis thunbergii,Shrub
Betula alleghaniensis,Tree
Betula lenta,Tree
Betula nigra,Tree
Betula populifolia,Tree
Betula sp.,Tree
Betula sp. ,
Bidens frondosa,
Bidens spp.,
Boehmeria cylindrica,
Callicarpa sp.,
Callitriche terrestris,
Carex albicans,Herb
Carex blanda,
Carex cephalophora,
Carex cumulata,
Carex debilis,Herb
Carex grayi,
Carex laxiculmis,
Carex pensylvanica,Herb
Carex plantaginea,Herb
Carex platyphylla,Herb
Carex radiata,
Carex rosea,
Carex spp.,
Carex sprengelii,
Carex swanii,Herb
Carex tonsa,
Carex virescens,
Carpinus caroliniana,Tree
Carpinus virginiana,Tree
Carya  spp.,
Carya cordiformis,Tree
Carya glabra,Tree
Carya ovata,Tree
Carya sp.,Tree
Carya spp.,
Carya tomentosa,Tree
Castanea dentata,Tree
Catalpa bignonioides,
Catalpa speciosa,
Celastrus orbiculatus,Vine
Celtis occidentalis,Tree
Celtis sp.,Tree
Cephalotaxus harringtonia,Tree
Cercis canadensis,
Chenopodium album,
Chionanthus virginicus,Shrub
Cinna arundinacea,
Circaea lutetiana,Herb
Cirsium spp.,
Clematis terniflora,
Clethra alnifolia,Shrub
Commelina communis,Herb
Conopholis americana,
Convallaria majalis,
Cornus alternifolia,Tree
Cornus florida,Tree
Cornus kousa,
Cornus racemosa,
Cornus sp.,Tree
Corylus americana,Shrub
Crataegus mollis,Tree
Crataegus spp.,
Cratageaus sp.,Tree
Crateagus spp.,
Cryptotaenia canadensis,
Cuscuta gronovii,
Danthonia compressa,Herb
Danthonia spicata,Herb
Danthonia spp.,
Dennstaedtia punctilobula,
Dicanthelium clandestinum,Herb
Dichanthelium acuminatum,
Dichanthelium clandestinum,Herb
Dichanthelium spp.,
Dryopteris intermedia,
Dryopteris marginalis,Herb
Duchesnea indica,
Echinocystis  lobata,
Echinocystis lobata,Vine
Epifagus virginiana,
Epilobium coloratum,
Epilobium spp.,
Epipactis helleborine,
Erechiteites hieracifolia,Herb
Erechtites hieraciifolius,
Erigeron canadensis,
Euonymus alatus,Shrub
Euonymus fortunei,Vine
Euonymus hamiltonianus,
Euonymus sp.,Shrub/Vine
Euonymus spp.,
Eupatorium cannabinum,
Eupatorium perfoliatum,Herb
Eupatorium spp.,
Eurybia divaricata,Herb
Euthamia graminifolia,Herb
Fagus grandifolia,Tree
Fern sp.,
Ficaria verna,
Frangula alnus,
Fraxinus americana,Tree
Fraxinus pennsylvanica,Tree
Fraxinus pensylvanica,Tree
Fraxinus sp.,Tree
Fraxinus spp.,
Gaultheria procumbens,
Geranium maculatum,Herb
Geranium robertianum,
Geum canadense,Herb
Ginkgo biloba,Tree
Glyceria striata,
Gymnocladus dioicus,
Hamamelis virginiana,Shrub
Hedera helix,Vine
Hemerocallis spp.,
Hibiscus moscheutos,
Hieracium paniculatum,
Hieracium umbellatum,
Hosta lancifolia,
Hosta latifolia,
Hosta spp.,Herb
Houttuynia cordata,
Hydrangea paniculata,Shrub
Ilex crenata,
Ilex opaca,Tree
Ilex verticillata,Shrub
Impatiens capensis,Herb
Iris versicolor,Herb
Juglans nigra,
Juncus effusus,Herb
Juncus tenuis,Herb
Juniperus spp.,
Juniperus virginiana,Tree
Kalmia latifolia,
Kalopanax septemlobus,Tree
Koelreuteria paniculata,
Lactuca canadensis,
Lactuca serriola,
Lactuca spp.,
Leersia virginica,Herb
Leucothoe axillaris,
Ligustrum sp (3-1A),
Ligustrum sp.,Shrub
Ligustrum spp.,
Lindera benzoin,Shrub
Liquidambar styraciflua,Tree
Liriodendron tulipifera,Tree
Lonicera gracilipes,
Lonicera japonica,Vine
Lonicera maackii,Shrub
Luzula multiflora,
Lysimachia quadrifolia,
Magnolia kobus,Tree
Magnolia tripetala,
Magnolia tripetela,Tree
Maianthemum canadense,Herb
Maianthemum racemosum,Herb
Malus spp.,Tree
many species,Herb
Melilotus officinalis,
Menispermum canadense,Herb
Mitchella repens,Vine
Monotropa uniflora,
Morus alba,Tree
Morus rubra,Tree
Muhlenbergia spp.,
Narcissus sp.,
Nyssa sylvatica,Tree
Onoclea sensibilis,Herb
Ostrya virginiana,Tree
Oxalis dillenii,
Oxalis spp.,
Oxalis stricta,Herb
Parthenocissus quinquefolia,Herb / Vine
Parthenocissus tricuspidata,
Paspalum laeve,
Paulownia tomentosa,Tree
Peltandra virginica,
Persicaria longiseta,
Persicaria perfoliata,Vine
Persicaria vulgaris,
Phellodendron amurense,Tree
Philadelphus coronaria,Shrub
Philadelphus coronarius,
Photinia villosa,
Phytolacca americana,Herb
Pilea pumila,
Pinus resinosa,
Pinus sp.,
Pinus strobus,
Plantago major,
Poaceae spp.,
Podophyllum peltatum,
Polygonatum biflorum,Herb
Polygonatum pubescens,Herb
Polygonatum spp.,
Polygonum caespitosa,Herb
Polygonum virginianum,Herb
Populus grandidentata,Tree
Prunus serotina,Tree
Prunus sp.,Tree
Prunus spp.,
Quercus alba,Tree
Quercus bicolor,Tree
Quercus coccinea,Tree
Quercus montana,Tree
Quercus palustris,Tree
Quercus rubra,Tree
Quercus rubra x Quercus velutina,Tree
Quercus spp.,
Quercus velutina,Tree
Quercus velutina x rubra,
Reynoutria japonica,Herb
Reynoutria sachalinense,Herb
Reynoutria x bohemica,Herb
Rhamnus frangula,Shrub
Rhododendron maximum,Shrub
Rhododendron minus,
Rhododendron schlippenbachii,
Rhododendron spp.,Shrub
Rhododendron viscosum,
Rhodotypos scandens,
Robinia pseudoacacia,Tree
Rosa multiflora,Shrub
Rosa spp.,
Rubus allegheniensis,Shrub
Rubus enslenii,Shrub/Vine
Rubus hispidus,
Rubus laciniatus,
Rubus pensilvanicus,
Rubus phoenicolasius,Shrub
Rubus spp.,
Rubus ulmifolius,
Rudbeckia laciniata,Herb
Sambucus canadensis,Shrub
Sambucus nigra,
Sassafras albidum,Tree
Saururus cernuus,Herb
Sceptridium dissectum,
Setaria viridis,
Silene stellata,Herb
Smilax glauca,
Smilax rotundifolia,Vine
Solanum dulcamara,Vine
Solanum nigrum,
Solanum spp.,
Solidago caesia,Herb
Solidago canadensis,Herb
Solidago juncea,Herb
Solidago nemoralis,Herb
Solidago odora,Herb
Solidago rugosa,Herb
Solidago spp.,Herb
Staphylea trifolia,Shrub
Stellaria media,
Symphyotrichum cordifolium,
Symphyotrichum spp.,
Symplocarpus foetidus,Herb
Taraxacum officinale,Herb
Taxus baccata,
Thelypteris noveboracensis,
Thuja spp.,
Tilia americana,Tree
Tilia spp.,
Toxicodendron radicans,Vine
Trifolium repens,
Trifolium spp.,Herb
Trillium sessile,
Tsuga canadensis,Tree
Ulmus americana,Tree
Ulmus parviflora,Tree
Ulmus parvifolia,
Urtica dioica,Herb
Vaccinium angustifolium,Shrub
Vaccinium corymbosum,Shrub
Vaccinium pallidum,Shrub
Vaccinium spp.,
Verbesina alternifolia,Herb
Veronica officinalis,
Viburnum acerifolium,Shrub
Viburnum carlesii,Shrub
Viburnum dentatum,Shrub
Viburnum dilatatum,Shrub
Viburnum plicatum,
Viburnum plicatum var. tomentosum,Shrub
Viburnum prunifolim,Shrub
Viburnum prunifolium,Shrub
Viburnum setigerum,Shrub
Vinca sp.,
Viola labradorica,
Viola soraria,Herb
Viola sororia,
Viola spp.,Herb
Vitis aestivalis,
Vitis novae-angliae,
Vitis sp.,Vine
Vitis spp.,
Wisteria floribunda,Vine
Wisteria sinensis,
Wisteria sp.,
Woodsia obtusa,
Zelkova serrata,Tree
