"","Qty","Taxon","Plant.Type","Date.Planted","year_planted","month_planted","Survey.Year","Native","Non.native","Invasive"
"1",4,"Quercus bicolor","Tree",2007-05-01,2007,5,"2016","y","n","n"
"2",5,"Hamamelis virginiana","Shrub",2007-11-11,2007,11,"2016","y","n","n"
"3",4,"Hamamelis virginiana","Shrub",2007-11-11,2007,11,"2016","y","n","n"
"4",12,"Viburnum dentatum","Shrub",2007-11-11,2007,11,"2016","y","n","n"
"5",12,"Viburnum dentatum","Shrub",2007-11-11,2007,11,"2016","y","n","n"
"6",12,"Viburnum prunifolium","Shrub",2007-11-11,2007,11,"2016","y","n","n"
"8",5,"Betula lenta","Tree",2007-11-11,2007,11,"2016","y","n","n"
"9",4,"Carpinus caroliniana","Tree",2007-11-11,2007,11,"2016","y","n","n"
"10",2,"Carpinus caroliniana","Tree",2007-11-11,2007,11,"2016","y","n","n"
"11",5,"Chionanthus virginicus","Shrub",2007-11-27,2007,11,"2016","y","n","n"
"12",4,"Hamamelis virginiana","Shrub",2007-11-27,2007,11,"2016","y","n","n"
"13",12,"Viburnum dentatum","Shrub",2007-11-27,2007,11,"2016","y","n","n"
"14",12,"Viburnum dentatum","Shrub",2007-11-27,2007,11,"2016","y","n","n"
"15",2,"Carpinus caroliniana","Tree",2007-11-27,2007,11,"2016","y","n","n"
"16",2,"Carpinus caroliniana","Tree",2007-11-27,2007,11,"2016","y","n","n"
"17",1,"Quercus bicolor","Tree",2007-11-27,2007,11,"2016","y","n","n"
"18",50,"Acer saccharum","Tree",2008-04-12,2008,4,"2016","y","n","n"
"19",50,"Betula lenta","Tree",2008-04-12,2008,4,"2016","y","n","n"
"20",50,"Liriodendron tulipifera","Tree",2008-04-12,2008,4,"2016","y","n","n"
"21",50,"Quercus rubra","Tree",2008-04-12,2008,4,"2016","y","n","n"
"22",50,"Quercus velutina","Tree",2008-04-12,2008,4,"2016","y","n","n"
"25",50,"Cornus alternifolia","Tree",2008-04-25,2008,4,"2016","y","n","n"
"26",50,"Cornus florida","Tree",2008-04-25,2008,4,"2016","y","n","n"
"27",30,"Fraxinus pennsylvanica","Tree",2008-04-25,2008,4,"2016","y","n","n"
"29",50,"Quercus palustris","Tree",2008-04-25,2008,4,"2016","y","n","n"
"30",1,"Quercus bicolor","Tree",2008-05-08,2008,5,"2016","y","n","n"
"31",12,"Quercus rubra","Tree",2008-09-05,2008,9,"2016","y","n","n"
"32",100,"Lindera benzoin","Shrub",2008-10-14,2008,10,"2016","y","n","n"
"33",50,"Viburnum prunifolium","Shrub",2008-10-14,2008,10,"2016","y","n","n"
"34",25,"Acer rubrum","Tree",2008-10-14,2008,10,"2016","y","n","n"
"35",50,"Betula lenta","Tree",2008-10-14,2008,10,"2016","y","n","n"
"36",25,"Carpinus caroliniana","Tree",2008-10-14,2008,10,"2016","y","n","n"
"37",10,"Carya glabra","Tree",2008-10-14,2008,10,"2016","y","n","n"
"38",10,"Carya ovata","Tree",2008-10-14,2008,10,"2016","y","n","n"
"39",10,"Carya tomentosa","Tree",2008-10-14,2008,10,"2016","y","n","n"
"40",50,"Fraxinus americana","Tree",2008-10-14,2008,10,"2016","y","n","n"
"41",10,"Liquidambar styraciflua","Tree",2008-10-14,2008,10,"2016","y","n","n"
"42",10,"Liriodendron tulipifera","Tree",2008-10-14,2008,10,"2016","y","n","n"
"43",50,"Nyssa sylvatica","Tree",2008-10-14,2008,10,"2016","y","n","n"
"44",25,"Quercus alba","Tree",2008-10-14,2008,10,"2016","y","n","n"
"45",50,"Quercus velutina","Tree",2008-10-14,2008,10,"2016","y","n","n"
"46",25,"Hamamelis virginiana","Shrub",2008-10-17,2008,10,"2016","y","n","n"
"47",25,"Viburnum prunifolium","Shrub",2008-10-17,2008,10,"2016","y","n","n"
"49",1,"Carpinus caroliniana","Tree",2008-10-17,2008,10,"2016","y","n","n"
"51",25,"Cornus alternifolia","Tree",2008-10-17,2008,10,"2016","y","n","n"
"52",29,"Fraxinus americana","Tree",2008-10-17,2008,10,"2016","y","n","n"
"53",10,"Liquidambar styraciflua","Tree",2008-10-17,2008,10,"2016","y","n","n"
"54",14,"Liriodendron tulipifera","Tree",2008-10-17,2008,10,"2016","y","n","n"
"55",26,"Quercus alba","Tree",2008-10-17,2008,10,"2016","y","n","n"
"56",10,"Quercus palustris","Tree",2008-10-17,2008,10,"2016","y","n","n"
"57",10,"Viburnum prunifolium","Shrub",2008-10-24,2008,10,"2016","y","n","n"
"59",5,"Liquidambar styraciflua","Tree",2008-10-24,2008,10,"2016","y","n","n"
"60",10,"Ostrya virginiana","Tree",2008-10-24,2008,10,"2016","y","n","n"
"61",37,"Quercus alba","Tree",2008-10-24,2008,10,"2016","y","n","n"
"62",10,"Quercus palustris","Tree",2008-10-24,2008,10,"2016","y","n","n"
"64",61,"Hamamelis virginiana","Shrub",2008-10-25,2008,10,"2016","y","n","n"
"65",15,"Viburnum prunifolium","Shrub",2008-10-25,2008,10,"2016","y","n","n"
"66",30,"Acer saccharinum","Tree",2008-10-25,2008,10,"2016","y","n","n"
"68",4,"Carpinus caroliniana","Tree",2008-10-25,2008,10,"2016","y","n","n"
