Project Date,Number of Staff Hours Worked,Number of Volunteer/Student/Intern Hours Worked,Project Type,Species Managed,Type of Research,Trail Name,Tasks,
1/2/2015,8,6,Invasive Species Management,Hedera helix,,,,
1/5/2015,12,0,Invasive Species Management,Hedera helix,,,,
1/5/2015,3,0,Mapping,,,,,
1/6/2015,4,0,Cleaned out Stone Garage,,,,,
1/6/2015,4,0,Invasive Species Management,Hedera helix,,,,
1/6/2015,7,0,Snow Removal,,,,,
1/7/2015,5,0,Tool Inventory ,,,,,
1/7/2015,10,0,Vehicle/Tool Maintenance,,,,,
1/8/2015,16,0,Vehicle/Tool Maintenance,,,,,
1/9/2015,4,0,Snow Removal,,,,,
1/9/2015,8,0,Vehicle/Tool Maintenance,,,,,
1/12/2015,8,0,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/12/2015,6,0,Vehicle/Tool Maintenance,,,,,
1/13/2015,16,0,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/14/2015,16,14,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/15/2015,16,18,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/16/2015,8,6,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/20/2015,16,0,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/21/2015,16,12,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/22/2015,16,0,Teaching/Tours/Instruction,,,,,
1/23/2015,12,0,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/26/2015,8,0,Snow Removal,,,,,
1/26/2015,6,0,Vehicle/Tool Maintenance,,,,,
1/28/2015,16,0,Snow Removal,,,,,
1/29/2015,8,15,Invasive Species Management,Viburnum Leaf Beetle,,,,
1/30/2015,4,3,Mapping,,,,,
1/30/2015,3,2,Snow Removal,,,,,
2/3/2015,8,0,Snow Removal,,,,,
2/4/2015,4,7,Invasive Species Management,Viburnum Leaf Beetle,,,,
2/4/2015,3,4,Mapping,,,,,
2/5/2015,12,18,Invasive Species Management,Viburnum Leaf Beetle,,,,
2/5/2015,4,0,Mapping,,,,,
2/6/2015,16,6,Invasive Species Management,Viburnum Leaf Beetle,,,,
2/9/2015,16,0,Data entry ,,,,,
