Sample Date,Transect Number ,Plot Number,Plot Corner,Genus ,Specific epithet,0-1,1-2,2-3,3-4,4-5
6/20/2011,1,1,NE,Coarse Woody Debris,,0,8,0,0,10
6/20/2011,1,1,NW,Coarse Woody Debris,,100,100,100,70,40
6/20/2011,1,1,SE,Coarse Woody Debris,,50,5,0,20,0
6/20/2011,1,1,SW,Coarse Woody Debris,,0,0,0,8,0
6/20/2011,1,2,NE,Coarse Woody Debris,,0,0,10,0,0
6/20/2011,1,2,NW,Coarse Woody Debris,,0,0,0,8,0
6/20/2011,1,2,SE,Coarse Woody Debris,,0,0,0,6,0
6/20/2011,1,2,SW,Coarse Woody Debris,,8,0,20,0,0
6/20/2011,1,3,NE,Coarse Woody Debris,,0,8,0,0,0
6/20/2011,1,3,NW,Coarse Woody Debris,,0,0,5,0,0
6/20/2011,1,3,SE,Coarse Woody Debris,,0,0,10,0,0
6/20/2011,1,3,SW,Coarse Woody Debris,,0,0,0,10,0
6/20/2011,1,1,NE,Leaf Litter,,100,100,100,20,100
6/20/2011,1,1,SE,Leaf Litter,,100,100,30,80,80
6/20/2011,1,1,SW,Leaf Litter,,85,10,0,0,20
6/20/2011,1,2,NE,Leaf Litter,,80,85,90,100,100
6/20/2011,1,2,NW,Leaf Litter,,100,100,100,92,100
6/20/2011,1,2,SE,Leaf Litter,,0,90,100,95,100
6/20/2011,1,2,SW,Leaf Litter,,100,100,90,100,100
6/20/2011,1,3,NE,Leaf Litter,,100,100,100,100,100
6/20/2011,1,3,NW,Leaf Litter,,95,50,95,100,100
6/20/2011,1,3,SE,Leaf Litter,,25,0,0,0,85
6/20/2011,1,3,SW,Leaf Litter,,100,100,100,90,100
6/20/2011,1,2,NE,Bare soil,,20,15,0,0,0
6/20/2011,1,3,NW,Bare soil,,5,50,0,0,0
6/20/2011,1,1,NE,Rock,,0,0,0,80,0
6/20/2011,1,1,NW,Rock,,0,0,0,30,60
6/20/2011,1,1,SE,Rock,,0,0,0,0,20
6/20/2011,1,1,SW,Rock,,15,90,100,100,80
6/20/2011,1,3,SE,Rock,,20,100,100,100,15
6/20/2011,1,1,NE,Acer,platanoides,0,50,0,0,0
6/20/2011,1,1,NE,Ageratina,altissima,0,0,0,12,60
6/20/2011,1,1,NE,Aralia ,elata,0,0,0,2,2
6/20/2011,1,1,NE,Eurybia ,divaricata,21,0,2,8,0
6/20/2011,1,1,NE,Prunus ,serotina,0,10,10,0,0
6/20/2011,1,1,NE,Toxicodendron ,radicans,10,50,0,0,0
6/20/2011,1,1,NW,Fraxinus ,americana,0,15,8,60,70
6/20/2011,1,1,NW,Polygonatum,biflorum,0,0,10,30,0
6/20/2011,1,1,NW,Silene,stellata,55,65,0,0,0
6/20/2011,1,1,SE,Carya,cordiformis,10,0,0,0,0
6/20/2011,1,1,SE,Eurybia ,divaricata,6,25,0,20,17
6/20/2011,1,1,SE,Polygonatum,biflorum,7,0,0,0,0
6/20/2011,1,1,SE,Quercus ,rubra,0,0,60,0,0
6/20/2011,1,1,SE,Rubus,sp.,10,10,0,0,0
6/20/2011,1,1,SW,Ageratina,altissima,0,0,0,0,1
6/20/2011,1,1,SW,Aralia ,elata,0,20,0,0,2
6/20/2011,1,1,SW,Commelina,communis,0,0,0,0,8
6/20/2011,1,1,SW,Eurybia ,divaricata,55,14,33,28,2
6/20/2011,1,1,SW,Polygonatum,biflorum,0,0,0,20,0
6/20/2011,1,1,SW,UNKNOWN,,0,0,0,3,0
6/20/2011,1,2,NE,Eurybia ,divaricata,14,0,0,0,0
6/20/2011,1,2,NE,Prunus ,serotina,0,0,8,32,0
6/20/2011,1,2,NE,Toxicodendron ,radicans,0,15,0,0,16
6/20/2011,1,2,NW,Commelina,communis,10,0,0,0,0
6/20/2011,1,2,NW,Eurybia ,divaricata,0,0,0,0,2
6/20/2011,1,2,NW,Toxicodendron ,radicans,34,95,45,2,0
6/20/2011,1,2,SE,Eurybia ,divaricata,0,0,0,0,80
6/20/2011,1,2,SE,Prunus ,serotina,0,57,70,64,0
6/20/2011,1,2,SE,Quercus ,rubra,100,10,0,0,0
6/20/2011,1,2,SW,Carya,cordiformis,0,0,0,10,0
6/20/2011,1,2,SW,Eurybia ,divaricata,25,65,90,65,55
6/20/2011,1,2,SW,Poaceae,spp.,0,0,0,0,5
6/20/2011,1,2,SW,Rubus,sp.,1,0,5,0,0
6/20/2011,1,3,NE,Toxicodendron ,radicans,48,0,0,0,0
6/20/2011,1,3,NW,Celastrus ,orbiculatus,0,0,0,35,25
6/20/2011,1,3,NW,Prunus ,serotina,24,5,0,0,0
6/20/2011,1,3,NW,Rubus,sp.,0,0,30,0,0
6/20/2011,1,3,SE,Circea ,lutetiana,0,20,0,0,0
6/20/2011,1,3,SE,Parthenocissus ,quinquefolia,35,0,0,0,0
6/20/2011,1,3,SW,Eurybia ,divaricata,85,60,80,78,90
6/20/2011,1,3,SW,Polygonatum,biflorum,0,0,0,0,5
