ID,Survey Year,Taxon,Native,Non-native,Invasive,Non-native and Non-invasive,Non-native and invasive
1,2016,Acer negundo,y,n,n,,
2,2011,Acer negundo,y,n,n,,
3,2016,Acer platanoides,n,y,y,,
4,2011,Acer platanoides,n,y,y,,
5,2006,Acer platanoides,n,y,y,,
6,2002,Acer platanoides,n,y,y,,
7,2016,Acer pseudoplatanus,n,y,y,,
8,2011,Acer pseudoplatanus,n,y,y,,
9,2016,Acer rubrum,y,n,n,,
10,2011,Acer rubrum,y,n,n,,
11,2006,Acer rubrum,y,n,n,,
12,2002,Acer rubrum,y,n,n,,
13,2016,Acer saccharinum,y,n,n,,
14,2016,Acer saccharum,y,n,n,,
15,2011,Acer saccharum,y,n,n,,
16,2006,Acer saccharum,y,n,n,,
17,2002,Acer saccharum,y,n,n,,
18,2011,Acer sp.,n,n,n,,
19,1937,Acer sp.,y,n,n,,
20,2016,Ageratina altissima,y,n,n,,
21,2011,Ageratina altissima,y,n,n,,
22,2016,Agrostis perennans,y,n,n,,
23,2016,Agrostis spp.,n,n,n,,
24,2016,Ailanthus altissima,n,y,y,,
25,2011,Ailanthus altissima,n,y,y,,
26,2006,Ailanthus altissima,n,y,y,,
27,2002,Ailanthus altissima,n,y,y,,
28,2016,Alliaria petiolata,n,y,y,,
29,2011,Alliaria petiolata,n,y,y,,
30,2016,Alnus glutinosa,n,y,y,,
31,2011,Alnus glutinosa,n,y,y,,
32,2002,Alnus glutinosa,n,y,y,,
33,2016,Amelanchier spp.,y,n,n,,
34,2011,Amelanchier spp.,y,n,n,,
35,2006,Amelanchier spp.,y,n,n,,
36,2002,Amelanchier spp.,y,n,n,,
37,2016,Ampelopsis brevipedunculata,n,y,y,,
38,2011,Ampelopsis brevipedunculata,n,y,y,,
39,2016,Apiaceae spp.,n,n,n,,
40,2016,Apocynum cannabinum,y,n,n,,
41,2016,Aralia elata,n,y,y,,
42,2011,Aralia elata,n,y,y,,
43,2006,Aralia elata,n,y,y,,
44,2002,Aralia elata,n,y,y,,
45,2016,Aralia nudicaulis,y,n,n,,
46,2016,Aralia racemosa,y,n,n,,
47,2011,Aralia racemosa,y,n,n,,
48,2016,Arctium minus,n,y,n,,
49,2016,Arisaema dracontium,n,y,n,,
50,2016,Arisaema triphyllum,y,n,n,,
51,2011,Arisaema triphyllum,y,n,n,,
52,2016,Artemisia vulgaris,n,y,y,,
53,2011,Artemisia vulgaris,n,y,y,,
54,2016,Arum italicum,n,y,n,,
55,2016,Asimina triloba,y,n,n,,
56,2011,Asimina triloba,y,n,n,,
57,2016,Asplenium platyneuron,y,n,n,,
58,2016,Athyrium filix-femina,y,n,n,,
59,2016,Aucuba japonica,n,y,n,,
60,2016,Baccharis halimifolia,y,n,n,,
61,2011,Berberis thunbergii,n,y,y,,
62,2016,Betula lenta,y,n,n,,
63,2011,Betula lenta,y,n,n,,
64,2006,Betula lenta,y,n,n,,
65,2002,Betula lenta,y,n,n,,
66,2011,Betula nigra,y,n,n,,
67,1937,Betula sp.,y,n,n,,
68,2016,Bidens frondosa,y,n,n,,
69,2016,Bidens spp.,n,n,n,,
70,2016,Boehmeria cylindrica,y,n,n,,
71,2016,Callicarpa sp.,n,y,n,,
72,2016,Callitriche terrestris,y,n,n,,
73,2016,Carex albicans,y,n,n,,
74,2016,Carex blanda,y,n,n,,
75,2016,Carex cephalophora,y,n,n,,
76,2011,Carex cumulata,y,n,n,,
77,2016,Carex debilis,y,n,n,,
78,2016,Carex grayi,y,n,n,,
79,2016,Carex laxiculmis,y,n,n,,
80,2016,Carex pensylvanica,y,n,n,,
81,2016,Carex plantaginea,y,n,n,,
82,2016,Carex platyphylla,y,n,n,,
83,2016,Carex radiata,y,n,n,,
84,2016,Carex rosea,y,n,n,,
85,2016,Carex spp.,n,n,n,,
86,2011,Carex spp.,n,n,n,,
87,2016,Carex sprengelii,y,n,n,,
88,2016,Carex swanii,y,n,n,,
89,2016,Carex tonsa,y,n,n,,
90,2016,Carex virescens,y,n,n,,
91,2016,Carpinus caroliniana,y,n,n,,
92,2011,Carpinus caroliniana,y,n,n,,
93,2006,Carpinus caroliniana,y,n,n,,
94,2002,Carpinus caroliniana,y,n,n,,
95,1937,Carpinus caroliniana,y,n,n,,
96,2011,Carya  spp.,y,n,n,,
97,2006,Carya  spp.,y,n,n,,
98,2002,Carya  spp.,y,n,n,,
99,1937,Carya  spp.,y,n,n,,
100,2016,Carya cordiformis,y,n,n,,
101,2011,Carya cordiformis,y,n,n,,
102,2016,Carya glabra,y,n,n,,
103,2016,Carya ovata,y,n,n,,
104,2016,Carya tomentosa,y,n,n,,
105,2016,Castanea dentata,y,n,n,,
106,2016,Catalpa bignonioides,y,n,n,,
107,2016,Catalpa speciosa,y,n,n,,
108,2016,Celastrus orbiculatus,n,y,y,,
109,2011,Celastrus orbiculatus,n,y,y,,
110,2016,Celtis occidentalis,y,n,n,,
111,2016,Cephalotaxus harringtonia,n,y,n,,
112,2011,Cephalotaxus harringtonia,n,y,n,,
113,2006,Cephalotaxus harringtonia,n,y,n,,
114,2016,Cercis canadensis,y,n,n,,
115,2016,Chenopodium album,y,n,n,,
116,2016,Chionanthus virginicus,y,n,n,,
117,2006,Chionanthus virginicus,y,n,n,,
118,2002,Chionanthus virginicus,y,n,n,,
119,2016,Cinna arundinacea,y,n,n,,
120,2016,Circaea lutetiana,y,n,n,,
121,2011,Circaea lutetiana,y,n,n,,
122,2011,Cirsium spp.,n,n,n,,
123,2016,Clematis terniflora,n,y,y,,
124,2016,Clethra alnifolia,y,n,n,,
125,2016,Commelina communis,n,y,y,,
126,2011,Commelina communis,n,y,y,,
127,2016,Conopholis americana,y,n,n,,
128,2016,Convallaria majalis,n,y,n,,
129,2016,Cornus alternifolia,y,n,n,,
130,2011,Cornus alternifolia,y,n,n,,
131,2006,Cornus alternifolia,y,n,n,,
132,2016,Cornus florida,y,n,n,,
133,2011,Cornus florida,y,n,n,,
134,2006,Cornus florida,y,n,n,,
135,2002,Cornus florida,y,n,n,,
136,2016,Cornus kousa,n,y,n,,
137,2016,Cornus racemosa,y,n,n,,
138,1937,Cornus sp.,y,n,n,,
139,2016,Corylus americana,y,n,n,,
140,2011,Crataegus mollis,y,n,n,,
141,2006,Crataegus mollis,y,n,n,,
142,2016,Crataegus spp.,y,n,n,,
143,2011,Crataegus spp.,n,n,n,,
144,2016,Cryptotaenia canadensis,y,n,n,,
145,2016,Cuscuta gronovii,y,n,n,,
146,2016,Danthonia compressa,y,n,n,,
147,2016,Danthonia spicata,y,n,n,,
148,2016,Danthonia spp.,n,n,n,,
149,2016,Dennstaedtia punctilobula,y,n,n,,
150,2016,Dichanthelium acuminatum,y,n,n,,
151,2016,Dichanthelium clandestinum,y,n,n,,
