Year,Genus,Epithet,Taxon,Native,Non-native,Invasive
2016,Alliaria,petiolata,alliaria petiolata,n,y,y
2016,Persicaria,longiseta,persicaria longiseta,n,y,n
2016,Phytolacca,americana,phytolacca americana,y,n,n
2016,Erechtites,hieraciifolius,erechtites hieraciifolius,y,n,n
2016,Phellodendron,amurense,phellodendron amurense,n,y,y
2016,Aralia,elata,aralia elata,n,y,y
2016,Rosa,multiflora,rosa multiflora,n,y,y
2016,Zelkova,serrata,zelkova serrata,n,y,n
2016,Amelanchier,spp.,amelanchier spp.,y,n,n
2016,Maianthemum,racemosum,maianthemum racemosum,y,n,n
2016,phytolacca,americana,phytolacca americana,y,n,n
2016,Phellodendron,amurense,phellodendron amurense,n,y,y
2016,Polygonatum,pubescens,polygonatum pubescens,y,n,n
2016,Celastrus,orbiculatus,celastrus orbiculatus,n,y,y
2016,Carya,cordiformis,carya cordiformis,y,n,n
2016,Smilax,rotundifolia,smilax rotundifolia,y,n,n
2016,Fraxinus,americana,fraxinus americana,y,n,n
2016,Ampelopsis,brevipedunculata,ampelopsis brevipedunculata,n,y,y
2016,rosa,multiflora,rosa multiflora,n,y,y
2016,Solidago,caesia,solidago caesia,y,n,n
2016,Hedera,helix,hedera helix,n,y,y
2016,Symphyotrichum,cordifolium,symphyotrichum cordifolium,y,n,n
2016,Danthonia,compressa,danthonia compressa,y,n,n
2016,Maianthemum,racemosum,maianthemum racemosum,y,n,n
2016,Danthonia,spicata,danthonia spicata,y,n,n
2016,Reynoutria,japonica,reynoutria japonica,n,y,y
2016,Stellaria,media,stellaria media,n,y,n
2016,Oxalis,dillenii,oxalis dillenii,y,n,n
2016,Quercus,rubra,quercus rubra,y,n,n
2016,Zelkova,serrata,zelkova serrata,n,y,n
2016,Rosa,multiflora,rosa multiflora,n,y,y
2016,Lonicera,maackii,lonicera maackii,n,y,y
2016,Toxicodendron,radicans,toxicodendron radicans,y,n,n
2016,Crataegus,spp.,crataegus spp.,y,n,n
2016,Fraxinus,americana,fraxinus americana,y,n,n
2016,Liquidambar,styraciflua,liquidambar styraciflua,y,n,n
2016,Malus,spp.,malus spp.,n,y,n
2016,Liriodendron,tulipifera,liriodendron tulipifera,y,n,n
2016,Erechtites,hieraciifolius,erechtites hieraciifolius,y,n,n
2016,Fraxinus,americana,fraxinus americana,y,n,n
2016,Ligustrum,sp (3/1A),ligustrum sp (3/1a),#N/A,#N/A,#N/A
2016,Sporobolus,3-2A,sporobolus 3-2a,#N/A,#N/A,#N/A
2016,Maianthemum,racemosum,maianthemum racemosum,y,n,n
2016,Maianthemum,racemosum,maianthemum racemosum,y,n,n
2016,Solidago,caesia,solidago caesia,y,n,n
2016,Narcissus,sp,narcissus sp,#N/A,#N/A,#N/A
2016,Sassafras,albidum,sassafras albidum,y,n,n
2016,Fraxinus,pennyslvanica,fraxinus pennyslvanica,#N/A,#N/A,#N/A
2016,Viburnum,prunifolium,viburnum prunifolium,y,n,n
2016,Liquidambar,styraciflua,liquidambar styraciflua,y,n,n
2016,Amelanchier,spp.,amelanchier spp.,y,n,n
2016,Rubus,enslenii,rubus enslenii,y,n,n
2016,Celastrus,orbiculatus,celastrus orbiculatus,n,y,y
2016,Polygonatum,pubescens,polygonatum pubescens,y,n,n
2016,Rhodotypos,scandens,rhodotypos scandens,n,y,y
2016,Phytolacca,americana,phytolacca americana,y,n,n
2016,Rubus,enslenii,rubus enslenii,y,n,n
2016,Rubus,allegheniensis,rubus allegheniensis,y,n,n
2016,Celastrus,orbiculatus,celastrus orbiculatus,n,y,y
2016,Phellodendron,amurense,phellodendron amurense,n,y,y
2016,Maianthemum,canadense,maianthemum canadense,y,n,n
2016,Solanum,dulcamara,solanum dulcamara,n,y,y
2016,Polygonum,virginianum,polygonum virginianum,y,n,n
2016,Quercus,rubra,quercus rubra,y,n,n
2016,Phellodendron,amurense,phellodendron amurense,n,y,y
2016,Polygonum,virginianum,polygonum virginianum,y,n,n
