Year,Genus,Specific epithet,Taxon,Native,Non-native,Invasive
1937,Fraxinus,sp.,fraxinus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Prunus,sp.,prunus sp.,#N/A,#N/A,#N/A
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Acer,sp.,acer sp.,n,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Acer,sp.,acer sp.,n,n,n
1937,Acer,sp.,acer sp.,n,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Betula,sp.,betula sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Ostrya,virginiana,ostrya virginiana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Quercus,sp.,quercus sp.,#N/A,#N/A,#N/A
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Viburnum,prunifolium,viburnum prunifolium,y,n,n
1937,Viburnum,prunifolium,viburnum prunifolium,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Quercus,sp.,quercus sp.,#N/A,#N/A,#N/A
1937,Fraxinus,sp.,fraxinus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Sassafras,albidum,sassafras albidum,y,n,n
1937,Acer,sp.,acer sp.,n,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carya,sp.,carya sp.,#N/A,#N/A,#N/A
1937,Betula,sp.,betula sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Viburnum,prunifolium,viburnum prunifolium,y,n,n
1937,Viburnum,prunifolium,viburnum prunifolium,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Quercus,sp.,quercus sp.,#N/A,#N/A,#N/A
1937,Quercus,sp.,quercus sp.,#N/A,#N/A,#N/A
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Carya,sp.,carya sp.,#N/A,#N/A,#N/A
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Betula,sp.,betula sp.,y,n,n
1937,Cornus,sp.,cornus sp.,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Tsuga,canadensis,tsuga canadensis,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
1937,Carpinus,caroliniana,carpinus caroliniana,y,n,n
