Sample Date,Observers,Transect Number ,Plot Number,Genus,specific epithet,Common (0/1)
6/20/2011,"AB, DG, WO, JS",1,2,Carex,spp.,0
6/20/2011,"AB, DG, WO, JS",1,2,Ageratina,altissima,0
6/20/2011,"AB, DG, WO, JS",1,2,Solidago,spp.,0
6/20/2011,"AB, DG, WO, JS",1,2,Polygonatum,biflorum,0
6/20/2011,"AB, DG, WO, JS",1,2,Maianthemum,racemosum,0
6/20/2011,"AB, DG, WO, JS",1,2,Fraxinus,americana,0
6/20/2011,"AB, DG, WO, JS",1,1,Reynoutria,japonica,0
6/20/2011,"AB, DG, WO, JS",1,1,Poaceae,spp.,0
6/20/2011,"AB, DG, WO, JS",1,1,Carex,spp.,0
6/20/2011,"AB, DG, WO, JS",1,1,Phytolacca,americana,0
6/20/2011,"AB, DG, WO, JS",1,1,Rhododendron ,minus,0
6/20/2011,"AB, DG, WO, JS",1,1,Viburnum,dentatum,0
6/20/2011,"AB, DG, WO, JS",1,1,Maianthemum,racemosum,0
6/20/2011,"AB, DG, WO, JS",1,1,Celastrus,orbiculatus,0
6/20/2011,"JS, DG, WO",1,3,Maianthemum,racemosum,
6/20/2011,"JS, DG, WO",1,3,Polygonum,virginianum,0
6/20/2011,"JS, DG, WO",1,3,Aralia,elata,0
6/22/2011,"DG, WO, PK",3,1,Poaceae,spp.,
6/22/2011,"DG, WO, PK",3,1,Aralia,elata,0
6/22/2011,"DG, WO, PK",3,1,Fraxinus,americana,0
6/22/2011,"DG, WO, PK",3,1,Phellodendron,amurense,0
6/22/2011,"DG, WO, PK",3,1,Toxicodendron,radicans,1
6/22/2011,"DG, WO, PK",3,1,Viburnum,dilatatum,0
6/22/2011,"DG, WO, PK",3,1,Maianthemum,canadense,0
6/22/2011,"DG, WO, PK",3,1,Amelanchier,spp.,0
6/22/2011,"DG, AB, JS",3,2,Aralia,elata,0
6/22/2011,"DG, AB, JS",3,2,Viburnum,acerifolium,0
6/22/2011,"DG, AB, JS",3,3,Maianthemum,racemosum,0
6/22/2011,"DG, AB, JS",3,3,Viburnum,acerifolium,0
6/22/2011,"AB, JS, PK",3,4,Malus,spp.,0
6/22/2011,"AB, JS, PK",3,4,Viburnum,dilatatum,0
6/22/2011,,3,5,Aralia,elata,
6/22/2011,,3,5,Celastrus,orbiculatus,
6/22/2011,,3,5,Parthenocissus,quinquefolia,
6/22/2011,,3,5,Smilax,rotundifolia,
6/22/2011,,3,5,moss,,
6/22/2011,,3,5,Toxicodendron,radicans,
6/22/2011,,3,5,Rosa,multiflora,
6/22/2011,,3,5,Acer,plantanoides,
6/22/2011,,3,5,Polygonatum,biflorum,
6/22/2011,,3,5,Maianthemum,racemosum,
6/23/2011,,3,6,Quercus,velutina,0
