Common Names,Scientific Names,Plant_Feature Type,Last Updated
white snakeroot,Ageratina altissima,Herb,6/21/2016
garlic mustard,Alliaria petiolata,Herb,6/21/2016
American spikenard,Aralia racemosa,Herb,6/21/2016
Jack-in-the-Pulpit,Arisaema triphyllum,Herb,6/21/2016
mugwort,Artemsia vulgaris,Herb,6/21/2016
white tinged sedge,Carex albicans,Herb,6/21/2016
Pennsylvania sedge,Carex pensylvanica,Herb,6/21/2016
Swan's sedge,Carex swanii,Herb,6/21/2016
stickseed/enchanter's nightshade,Circaea lutetiana,Herb,6/21/2016
Dayflower,Commelina communis,Herb,6/21/2016
flattened oat grass,Danthonia compressa,Herb,6/21/2016
poverty oat grass,Danthonia spicata,Herb,6/21/2016
deer tongue,Dicanthelium clandestinum,Herb,6/21/2016
fireweed,Erechiteites hieracifolia,Herb,6/21/2016
white wood aster,Eurybia divaricata,Herb,6/21/2016
plantain lily,Hosta spp.,Herb,6/21/2016
jewelweed,Impatiens capensis,Herb,6/21/2016
common rush,Juncus effusus,Herb,6/21/2016
path rush,Juncus tenuis,Herb,6/21/2016
whitegrass,Leersia virginica,Herb,6/21/2016
Canada mayflower,Maianthemum canadense,Herb,6/21/2016
false solomon seal,Maianthemum racemosum,Herb,6/21/2016
turf grass,many species,Herb,6/21/2016
moonseed,Menispermum canadense,Herb,6/21/2016
yellowwood sorrel,Oxalis stricta,Herb,6/21/2016
pokeweed,Phytolacca americana,Herb,6/21/2016
Solomon's seal,Polygonatum biflorum,Herb,6/21/2016
hairy Solomon's seal,Polygonatum pubescens,Herb,6/21/2016
smartweed,Polygonum caespitosa,Herb,6/21/2016
Jumpseed,Polygonum virginianum,Herb,6/21/2016
Japanese knotweed,Reynoutria japonica,Herb,6/21/2016
Giant knotweed,Reynoutria sachalinense,Herb,6/21/2016
Hybrid knotweed,Reynoutria x bohemica,Herb,6/21/2016
lizard's tail,Saururus cernuus,Herb,6/21/2016
starry champion,Silene stellata,Herb,6/21/2016
Goldenrod,Solidago spp.,Herb,6/21/2016
skunk cabbage,Symplocarpus foetidus,Herb,6/21/2016
dandelion,Taraxacum officinale,Herb,6/21/2016
clovers,Trifolium spp.,Herb,6/21/2016
stinging nettle,Urtica dioica,Herb,6/21/2016
common violet,Viola soraria,Herb,6/21/2016
violets,Viola spp.,Herb,6/21/2016
Coarse woody debris,,Non-living,6/21/2016
Fence,,Non-living,6/21/2016
Leaf litter,,Non-living,6/21/2016
Mineral soil,,Non-living,6/21/2016
Rock,,Non-living,6/21/2016
Trail,,Non-living,6/21/2016
Stream ,,Non-living,6/21/2016
Salamander plot,,Non-living,6/21/2016
Trash,,Non-living,6/21/2016
Tree,,Non-living,6/21/2016
Japanese barberry,Berberis thunbergii,Shrub,6/21/2016
fringe tree,Chionanthus virginicus,Shrub,6/21/2016
sweet shrub,Clethra alnifolia,Shrub,6/21/2016
burning bush,Euonymus alatus,Shrub,6/21/2016
witchhazel,Hamamelis virginiana,Shrub,6/21/2016
panicle hydrangea,Hydrangea paniculata,Shrub,6/21/2016
winterberry,Ilex verticillata,Shrub,6/21/2016
privet,Ligustrum sp.,Shrub,6/21/2016
spicebush,Lindera benzoin,Shrub,6/21/2016
honeysuckle,Lonicera maackii,Shrub,6/21/2016
philadelphus,Philadelphus coronaria,Shrub,6/21/2016
smooth buckthorn,Rhamnus frangula,Shrub,6/21/2016
rosebay,Rhododendron maximum,Shrub,6/21/2016
rhododendron,Rhododendron spp.,Shrub,6/21/2016
multiflora rose,Rosa multiflora,Shrub,6/21/2016
alleghany rubus,Rubus allegheniensis,Shrub,6/21/2016
wineberry,Rubus phoenicolasius,Shrub,6/21/2016
elderberry,Sambucus canadensis,Shrub,6/21/2016
lowbush blueberry,Vaccinium angustifolium,Shrub,6/21/2016
high bush blueberry,Vaccinium corymbosum,Shrub,6/21/2016
hillside blueberry,Vaccinium pallidum,Shrub,6/21/2016
maple leaf viburnum,Viburnum acerifolium,Shrub,6/21/2016
Korean spicebush,Viburnum carlesii,Shrub,6/21/2016
arrowood,Viburnum dentatum,Shrub,6/21/2016
linden viburnum,Viburnum dilatatum,Shrub,6/21/2016
doublefile viburnum,Viburnum plicatum var. tomentosum,Shrub,6/21/2016
blackhaw,Viburnum prunifolium,Shrub,6/21/2016
tea viburnum,Viburnum setigerum,Shrub,6/21/2016
euonymus sp.,Euonymus sp.,Shrub/Vine,6/21/2016
creeping rubus,Rubus enslenii,Shrub/Vine,6/21/2016
box elder,Acer negundo,Tree,6/21/2016
norway maple,Acer plantanoides,Tree,6/21/2016
sycamore maple,Acer pseudoplatanus,Tree,6/21/2016
red maple,Acer rubrum,Tree,6/21/2016
sugar maple,Acer saccharum,Tree,6/21/2016
tree of heaven,Ailanthus altissima,Tree,6/21/2016
black alder,Alnus glutinosa,Tree,6/21/2016
"juneberry, shadbush",Amelanchier spp. (most likely canadensis),Tree,6/21/2016
Japanese angelica tree,Aralia elata,Tree,6/21/2016
pawpaw,Asimina triloba,Tree,6/21/2016
yellow birch,Betula alleghaniensis,Tree,6/21/2016
sweet birch,Betula lenta,Tree,6/21/2016
river birch,Betula nigra,Tree,6/21/2016
gray birch,Betula populifolia,Tree,6/21/2016
ironwood,Carpinus virginiana,Tree,6/21/2016
hickory,"Carya spp. (tomentosa, cordiformis, glabra, ovata)",Tree,6/21/2016
American chestnut,Castanea dentata,Tree,6/21/2016
plum yew,Cephalotaxus harringtonia,Tree,6/21/2016
alternate leafed dogwood,Cornus alternifolia,Tree,6/21/2016
flowering dogwood,Cornus florida,Tree,6/21/2016
downy hawthorn,Crataegus mollis,Tree,6/21/2016
hawthorn,Cratageaus spp.,Tree,6/21/2016
American beech,Fagus grandifolia,Tree,6/21/2016
white ash,Fraxinus americana,Tree,6/21/2016
green ash,Fraxinus pensylvanica,Tree,6/21/2016
Ginkgo,Ginkgo biloba,Tree,6/21/2016
American holly,Ilex opaca,Tree,6/21/2016
caster tree,Kalopanax septemlobus,Tree,6/21/2016
sweet gum,Liquidambar styraciflua,Tree,6/21/2016
tulip tree,Liriodendron tulipifera,Tree,6/21/2016
Kobus magnolia,Magnolia kobus,Tree,6/21/2016
umbrella tree,Magnolia tripetela,Tree,6/21/2016
crabapple,Malus spp.,Tree,6/21/2016
white mulberry,Morus alba,Tree,6/21/2016
red mulberry,Morus rubra,Tree,6/21/2016
tupelo,Nyssa sylvatica,Tree,6/21/2016
hophornbeam,Ostrya virginiana,Tree,6/21/2016
empress tree,Paulownia tomentosa,Tree,6/21/2016
Amur cork tree,Phellodendron amurense,Tree,6/21/2016
Poplar,Populus grandidentata,Tree,6/21/2016
black cherry,Prunus serotina,Tree,6/21/2016
weedy cherries,"Prunus spp. (avium, incisa, sargentii, subhirtella, x yedoensis)",Tree,6/21/2016
white oak,Quercus alba,Tree,6/21/2016
swamp white oak,Quercus bicolor,Tree,6/21/2016
scarlet oak,Quercus coccinea,Tree,6/21/2016
chestnut oak,Quercus montana,Tree,6/21/2016
pin oak,Quercus palustris,Tree,6/21/2016
red oak,Quercus rubra,Tree,6/21/2016
red/black oak,Quercus rubra x Quercus velutina,Tree,6/21/2016
black oak,Quercus velutina,Tree,6/21/2016
black locust,Robinia pseudoacacia,Tree,6/21/2016
sassafras,Sassafras albidum,Tree,6/21/2016
American basswood,Tilia americana,Tree,6/21/2016
hemlock,Tsuga canadensis,Tree,6/21/2016
American elm,Ulmus americana,Tree,6/21/2016
Japanese elm,Ulmus parviflora,Tree,6/21/2016
Japanese zelkova,Zelkova serrata,Tree,6/21/2016
Porcelinberry,Ampelopsis brevipedunculata,Vine,6/21/2016
oriental bittersweet,Celastrus orbiculatus,Vine,6/21/2016
Wild Cucumber,Echinocystis lobata,Vine,6/21/2016
creeping euonymus,Euonymus fortunei,Vine,6/21/2016
English ivy,Hedera helix,Vine,6/21/2016
Japanese honeysuckle,Lonicera japonica,Vine,6/21/2016
partridgeberry,Mitchella repens,Vine,6/21/2016
virginia creeper,Parthenocissus quinquefolia,Vine,6/21/2016
Mile-a-minute Vine,Persicaria perfoliata,Vine,6/21/2016
common greenbriar (cat briar),Smilax rotundifolia,Vine,6/21/2016
nightshade,Solanum dulcamara,Vine,6/21/2016
poison ivy,Toxicodendron radicans,Vine,6/21/2016
wild grape,Vitis sp.,Vine,6/21/2016
Japanese wisteria,Wisteria floribunda,Vine,6/21/2016
